,,accuracy,topk,clean_CUDA_time,clean_CUDA_mem,clean_CPU_time,clean_CPU_mem,clean_GFLOPs,adv_CUDA_time,adv_CUDA_mem,adv_CPU_time,adv_CPU_mem,adv_GFLOPs,diff_outliers,diff_outliers_%,diff_GFLOPs,diff_GFLOPs_%,diff_CUDA_mem,diff_CUDA_mem_%,diff_CUDA_time,diff_CUDA_time_%
/sise/home/barasa/8_bit/experiments/April/inf_2_0.5_True/results.csv,mean,0.0,0.0,60.774,995.804,674.36,0.0,0.851,60.376,1050.881,696.287,0.0,0.851,82.436,0.393,0.0,0.0,55.077,0.055,-0.398,-0.007
/sise/home/barasa/8_bit/experiments/April/inf_2_0.5_True/results.csv,std,0.0,0.0,0.399,2.238,21.873,0.0,0.0,0.19,1.935,20.467,0.0,0.0,62.558,0.318,0.0,0.0,3.22,0.003,0.46,0.008
/sise/home/barasa/8_bit/experiments/April/inf_2_1_True/results.csv,mean,0.0,0.0,60.885,998.101,710.19,0.0,0.851,60.105,1007.674,731.908,0.0,0.851,-99.842,-0.399,0.0,0.0,9.573,0.01,-0.781,-0.013
/sise/home/barasa/8_bit/experiments/April/inf_2_1_True/results.csv,std,0.0,0.0,0.369,3.065,18.897,0.0,0.0,0.294,1.321,19.801,0.0,0.0,46.897,0.136,0.0,0.0,2.657,0.003,0.45,0.007
/sise/home/barasa/8_bit/experiments/April/inf_5_0.001_True/results.csv,mean,0.04,0.059,60.671,985.632,763.236,0.0,0.851,63.302,1054.999,794.237,0.0,0.851,1753.861,7.963,0.0,0.0,69.367,0.07,2.631,0.043
/sise/home/barasa/8_bit/experiments/April/inf_5_0.001_True/results.csv,std,0.196,0.238,0.41,10.666,23.823,0.0,0.0,0.453,11.368,22.786,0.0,0.0,258.094,1.927,0.0,0.0,11.829,0.012,0.649,0.011
/sise/home/barasa/8_bit/experiments/April/inf_5_0.005_True/results.csv,mean,0.0,0.02,60.708,994.487,802.539,0.0,0.851,64.391,1089.594,830.207,0.0,0.851,2319.327,10.535,0.0,0.0,95.107,0.096,3.684,0.061
/sise/home/barasa/8_bit/experiments/April/inf_5_0.005_True/results.csv,std,0.0,0.14,0.415,10.765,24.203,0.0,0.0,0.364,15.194,17.631,0.0,0.0,203.062,2.026,0.0,0.0,11.688,0.012,0.602,0.01
/sise/home/barasa/8_bit/experiments/April/inf_5_0.01_True/results.csv,mean,0.0,0.0,40.888,1007.015,863.715,0.0,0.851,43.353,1094.894,894.954,0.0,0.851,2404.327,11.007,0.0,0.0,87.879,0.088,2.464,0.06
/sise/home/barasa/8_bit/experiments/April/inf_5_0.01_True/results.csv,std,0.0,0.0,14.518,20.386,36.63,0.0,0.0,15.402,13.409,30.165,0.0,0.0,188.764,2.863,0.0,0.0,13.966,0.015,0.98,0.01
/sise/home/barasa/8_bit/experiments/April/inf_5_0.05_True/results.csv,mean,0.0,0.0,30.42,990.113,922.317,0.0,0.851,32.348,1113.123,956.098,0.0,0.851,2289.287,10.339,0.0,0.0,123.01,0.124,1.929,0.063
/sise/home/barasa/8_bit/experiments/April/inf_5_0.05_True/results.csv,std,0.0,0.0,0.206,8.854,31.775,0.0,0.0,0.163,14.658,25.505,0.0,0.0,152.922,2.173,0.0,0.0,20.188,0.021,0.266,0.009
/sise/home/barasa/8_bit/experiments/April/inf_5_0.1_True/results.csv,mean,0.0,0.0,30.446,1006.994,960.902,0.0,0.851,31.892,1092.114,995.773,0.0,0.851,1329.079,6.009,0.0,0.0,85.12,0.085,1.447,0.048
/sise/home/barasa/8_bit/experiments/April/inf_5_0.1_True/results.csv,std,0.0,0.0,0.195,10.171,23.339,0.0,0.0,0.199,11.368,19.853,0.0,0.0,173.033,1.53,0.0,0.0,17.446,0.018,0.271,0.009
/sise/home/barasa/8_bit/experiments/April/inf_5_0.5_True/results.csv,mean,0.0,0.0,30.409,989.663,1005.231,0.0,0.851,30.205,998.543,1032.768,0.0,0.851,82.436,0.393,0.0,0.0,8.88,0.009,-0.205,-0.007
/sise/home/barasa/8_bit/experiments/April/inf_5_0.5_True/results.csv,std,0.0,0.0,0.2,2.345,26.895,0.0,0.0,0.092,3.354,25.728,0.0,0.0,62.558,0.318,0.0,0.0,3.461,0.003,0.229,0.008
/sise/home/barasa/8_bit/experiments/April/inf_5_1_True/results.csv,mean,0.0,0.0,30.437,979.616,1028.742,0.0,0.851,30.043,988.428,1065.194,0.0,0.851,-99.842,-0.399,0.0,0.0,8.812,0.009,-0.394,-0.013
/sise/home/barasa/8_bit/experiments/April/inf_5_1_True/results.csv,std,0.0,0.0,0.187,2.951,19.336,0.0,0.0,0.148,1.228,17.465,0.0,0.0,46.897,0.136,0.0,0.0,2.59,0.003,0.227,0.007
/sise/home/barasa/8_bit/experiments/April/inf_8_0.001_True/results.csv,mean,0.04,0.059,36.04,1001.215,1051.555,0.0,0.851,37.625,1051.33,1101.132,0.0,0.851,1753.861,7.963,0.0,0.0,50.116,0.05,1.585,0.044
/sise/home/barasa/8_bit/experiments/April/inf_8_0.001_True/results.csv,std,0.196,0.238,11.902,13.047,9.321,0.0,0.0,12.458,8.579,13.091,0.0,0.0,258.094,1.927,0.0,0.0,12.075,0.013,0.679,0.011
/sise/home/barasa/8_bit/experiments/April/inf_8_0.005_True/results.csv,mean,0.0,0.02,60.711,1000.481,1077.677,0.0,0.851,64.393,1142.561,1127.381,0.0,0.851,2319.327,10.535,0.0,0.0,142.08,0.142,3.682,0.061
/sise/home/barasa/8_bit/experiments/April/inf_8_0.005_True/results.csv,std,0.0,0.14,0.405,13.783,13.431,0.0,0.0,0.362,25.097,15.924,0.0,0.0,203.062,2.026,0.0,0.0,26.411,0.027,0.596,0.01
/sise/home/barasa/8_bit/experiments/April/inf_8_0.01_True/results.csv,mean,0.0,0.0,60.737,987.231,1121.846,0.0,0.851,64.389,1119.866,1174.337,0.0,0.851,2404.327,11.007,0.0,0.0,132.635,0.135,3.652,0.06
/sise/home/barasa/8_bit/experiments/April/inf_8_0.01_True/results.csv,std,0.0,0.0,0.468,13.85,13.788,0.0,0.0,0.321,12.1,15.94,0.0,0.0,188.764,2.863,0.0,0.0,17.991,0.02,0.582,0.01
/sise/home/barasa/8_bit/experiments/April/inf_8_0.05_True/results.csv,mean,0.0,0.0,60.853,989.34,1160.613,0.0,0.851,64.717,1108.38,1217.246,0.0,0.851,2289.287,10.339,0.0,0.0,119.04,0.12,3.864,0.064
